Longitude,Type of Station,City,Address1,Zip,Address2,Version,State,City and State of the station,State FIPS,Unique Station Code,Latitude,latitude,longitude
-83.654839,RAIL,Flint,1407 South Dort Highway,48503-2878,,07,MI,"Flint, Michigan",26,FLN,43.013634,43.013634,-83.654839
-79.757095,RAIL,Florence,805 East Day Street,29506,,07,SC,"Florence, South Carolina",45,FLO,34.198818,34.198818,-79.757095
-91.333359,RAIL,Fort Madison,1601 20th Street,52627,,07,IA,"Fort Madison, Iowa",19,FMD,40.623394,40.623394,-91.333359
-103.80265,RAIL,Fort Morgan,South Ensign St and Main St,80701,,07,CO,"Fort Morgan, Colorado",08,FMG,40.24733,40.24733,-103.80265
-122.006378,RAIL,Fremont,37260 Fremont Blvd.,94536,,07,CA,"Fremont (Trains, Capitol Buses), California",06,FMT,37.558197,37.558197,-122.006378
-119.782249,RAIL,Fresno,2650 Tulare St.,93721-1325,Santa Fe Station,07,CA,"Fresno, California",06,FNO,36.738628,36.738628,-119.782249
-71.971939,BUS,Ledyard,39 Norwich Westerley Rd.,06339-1128,Foxwoods Resort Casino,07,CT,"Foxwoods Casino, Connecticut",09,FOX,41.457661,41.457661,-71.971939
-71.417862,RAIL,Framingham,417 Waverly St.,01702-6948,Intersection Route 126 at Route 135,07,MA,"Framingham, Massachusetts",25,FRA,42.276669,42.276669,-71.417862
-124.100349,BUS,Florence,290 US Highway 101,99999,Bus stop at 2nd and Highway 101,07,OR,"Florence, Oregon",41,FRO,44.01136,44.01136,-124.100349
-77.170547,RAIL,Springfield,6880 Frontier Dr.,22150,Metro/VRE/Amtrak station,07,VA,"Franconia-Springfield, Virginia",51,FRS,38.765018,38.765018,-77.170547
-121.92244,BUS,Fremont,999 Upper Mission Blvd,94538,off I-680,07,CA,"Fremont (San Joaquin Buses), California",06,FRT,37.539932,37.539932,-121.92244
-106.096283,BUS,Frisco,1010 Meadow Drive,80443,Frisco Transfer Center,07,CO,"Frisco, Colorado",08,FSC,39.587105,39.587105,-106.096283
-124.151894,BUS,Fortuna,719 South Fortuna Blvd,95540,Pepper's Restaurant,07,CA,"Fortuna, California",06,FTA,40.597496,40.597496,-124.151894
-73.39064,RAIL,Ticonderoga,NYS Hwy 74 and Sandy Redoubt,12883,near Lake Champlain Ferry,07,NY,"Ticonderoga, New York",36,FTC,43.852993,43.852993,-73.39064
-80.170189,RAIL,Fort Lauderdale,200 S.W. 21 Terrace,33312,,07,FL,"Fort Lauderdale, Florida",12,FTL,26.119614,26.119614,-80.170189
-81.884903,BUS,Fort Myers,6050 Plaza Drive,33906-4419,Fort Myers Travel Plaza,07,FL,"Fort Myers, Florida",12,FTM,26.68235,26.68235,-81.884903
-88.888008,RAIL,Fulton,21 Newton Rd.,42041,,07,KY,"Fulton, Kentucky",21,FTN,36.522522,36.522522,-88.888008
-97.323868,RAIL,Fort Worth,1001 Jones Street,76102,,07,TX,"Fort Worth, Texas",48,FTW,32.749374,32.749374,-97.323868
-117.922836,RAIL,Fullerton,120 East Santa Fe Avenue,92832,Fullerton Transportation Center,07,CA,"Fullerton, California",06,FUL,33.868946,33.868946,-117.922836
-121.946411,RAIL,Santa Clara,5099 Stars & Stripes Dr.,95054,Under Tasman Dr. overpass,07,CA,"Santa Clara (Great America), California",06,GAC,37.37851,37.37851,-121.946411
-81.163979,RAIL,Gastonia,350 Hancock Street,28054,,07,NC,"Gastonia, North Carolina",37,GAS,35.268356,35.268356,-81.163979
-90.364105,RAIL,Galesburg,225 South Seminary Street,61401,Amtrak Union Station,07,IL,"Galesburg, Illinois",17,GBB,40.94405,40.94405,-90.364105
-123.7939,BUS,Garberville,924 Redwood Drive,95542,Waterwheel Restaurant,07,CA,"Garberville, California",06,GBV,40.101063,40.101063,-123.7939
-112.138795,BUS,Grand Canyon National Park,Maswik Lodge,86023,,07,AZ,"Grand Canyon (Buses), Arizona",04,GCB,36.055029,36.0550292249,-112.138795373
-100.872795,RAIL,Garden City,100 North 7th Street,67846-5547,1 block south of 7th & Fulton,07,KS,"Garden City, Kansas",20,GCK,37.964725,37.964725,-100.872795
